htime,haddend,hcum,vtime,vaddend,vcum,mess
12.25s,1.62ms,12243.647000000003,4.96s,0.2ms,4960.5999999999985, [    0.000000] plic: disable L2 cache irq 2 in plic
12.25s,1.77ms,12245.417000000003,4.96s,0.3ms,4960.899999999999, [    0.000000] plic: disable L2 cache irq 3 in plic
12.26s,2.53ms,12247.947000000004,4.96s,0.3ms,4961.199999999999, [    0.000000] plic: Can't get L2 cache irq(#3).
12.27s,13.21ms,12261.157000000003,4.96s,1ms,4962.199999999999, [    0.000000] plic: disable L2 cache irq 1 in plic
12.27s,1.75ms,12262.907000000003,4.96s,0.3ms,4962.499999999999, [    0.000000] plic: disable L2 cache irq 2 in plic
12.27s,1.74ms,12264.647000000003,4.96s,0.3ms,4962.799999999999, [    0.000000] plic: disable L2 cache irq 3 in plic
12.28s,1.43ms,12266.077000000003,4.96s,0.2ms,4962.999999999999, [    0.000000] plic: Can't get L2 cache irq(#3).
12.28s,3.27ms,12269.347000000003,4.96s,0.4ms,4963.399999999999, [    0.000000] plic: plic@c000000: mapped 127 interrupts with 2 handlers for 4 contexts.
12.3s,16.69ms,12286.037000000004,4.96s,2.3ms,4965.699999999999, [    0.000000] random: get_random_bytes called from start_kernel+0x31c/0x48e with crng_init=0
12.3s,2.02ms,12288.057000000004,4.96s,0.3ms,4965.999999999999, [    0.000000] riscv_timer_init_dt: Registering clocksource cpuid [0] hartid [1]
12.3s,3.8ms,12291.857000000004,4.96s,0.6ms,4966.599999999999," [    0.000000] clocksource: riscv_clocksource: mask: 0xffffffffffffffff max_cycles: 0x171024e6b, max_idle_ns: 440795202301 ns"
12.3s,3.06ms,12294.917000000003,4.96s,0.4ms,4966.999999999999," [    0.000000] sched_clock: 64 bits at 6MHz, resolution 160ns, wraps every 4398046511040ns"
12.32s,13.79ms,12308.707000000004,4.96s,0.9ms,4967.899999999999, [    0.001056] Console: colour dummy device 80x25
12.33s,9.83ms,12318.537000000004,4.96s,0.6ms,4968.499999999999," [    0.001344] Calibrating delay loop (skipped), value calculated using timer frequency.. 12.50 BogoMIPS (lpj=62500)"
12.33s,1.82ms,12320.357000000004,4.96s,0.3ms,4968.799999999999, [    0.001920] pid_max: default: 32768 minimum: 301
12.34s,12.42ms,12332.777000000004,4.96s,1.4ms,4970.199999999999," [    0.003072] Mount-cache hash table entries: 16384 (order: 5, 131072 bytes, linear)"
12.34s,3.03ms,12335.807000000004,4.97s,0.6ms,4970.799999999999," [    0.003648] Mountpoint-cache hash table entries: 16384 (order: 5, 131072 bytes, linear)"
12.41s,65.21ms,12401.017000000003,4.97s,6.5ms,4977.299999999999, [    0.010080] rcu: Hierarchical SRCU implementation.
12.42s,10.96ms,12411.977000000003,4.97s,0.9ms,4978.199999999999, [    0.010944] EFI services will not be available.
12.43s,8.54ms,12420.517000000003,4.97s,1.2ms,4979.399999999999, [    0.012096] smp: Bringing up secondary CPUs ...
12.47s,39.94ms,12460.457000000004,4.98s,2.4ms,4981.799999999998," [    0.014400] smp: Brought up 1 node, 2 CPUs"
12.52s,54.39ms,12514.847000000003,4.98s,6ms,4987.799999999998, [    0.020160] devtmpfs: initialized
